,raw_predictions,correctly_predicted,ground_truths
12,<S2SV_ModStart> if ( stream == NULL ) return - 1 ; <S2SV_ModEnd>,0,"<S2SV_ModStart> size_t used = 0 ; BYTE * pConcatenated = NULL ; wStream * stream = Stream_StaticConstInit ( & sbuffer, pSrcData, SrcSize ) ; WINPR_ASSERT ( zgfx ) ; WINPR_ASSERT ( stream ) ; WINPR_ASSERT ( ppDstData ) ; WINPR_ASSERT ( pDstSize ) ; * ppDstData = NULL ; * pDstSize = 0 ; if (! Stream_CheckAndLogRequiredLength ( TAG, stream, 1 ) ) goto fail ; Stream_Read_UINT8 ( stream, descriptor ) ; /* descriptor (1 byte) */ if ( descriptor == ZGFX_SEGMENTED_SINGLE ) { if (! zgfx_decompress_segment ( zgfx, stream, Stream_GetRemainingLength ( stream ) ) ) goto fail ; if ( zgfx -> OutputCount > 0 ) { if (! zgfx_append ( zgfx, & pConcatenated, zgfx -> OutputCount, & used ) ) goto fail ; if ( used!= zgfx -> OutputCount ) goto fail ; * ppDstData = pConcatenated ;"
13,<S2SV_ModStart> if ( stream == NULL ) { return - 1 ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> size_t used = 0 ; BYTE * pConcatenated = NULL ; wStream * stream = Stream_StaticConstInit ( & sbuffer, pSrcData, SrcSize ) ; WINPR_ASSERT ( zgfx ) ; WINPR_ASSERT ( stream ) ; WINPR_ASSERT ( ppDstData ) ; WINPR_ASSERT ( pDstSize ) ; * ppDstData = NULL ; * pDstSize = 0 ; if (! Stream_CheckAndLogRequiredLength ( TAG, stream, 1 ) ) goto fail ; Stream_Read_UINT8 ( stream, descriptor ) ; /* descriptor (1 byte) */ if ( descriptor == ZGFX_SEGMENTED_SINGLE ) { if (! zgfx_decompress_segment ( zgfx, stream, Stream_GetRemainingLength ( stream ) ) ) goto fail ; if ( zgfx -> OutputCount > 0 ) { if (! zgfx_append ( zgfx, & pConcatenated, zgfx -> OutputCount, & used ) ) goto fail ; if ( used!= zgfx -> OutputCount ) goto fail ; * ppDstData = pConcatenated ;"
14,<S2SV_ModStart> if (! stream ) return - 1 ; <S2SV_ModEnd>,0,"<S2SV_ModStart> size_t used = 0 ; BYTE * pConcatenated = NULL ; wStream * stream = Stream_StaticConstInit ( & sbuffer, pSrcData, SrcSize ) ; WINPR_ASSERT ( zgfx ) ; WINPR_ASSERT ( stream ) ; WINPR_ASSERT ( ppDstData ) ; WINPR_ASSERT ( pDstSize ) ; * ppDstData = NULL ; * pDstSize = 0 ; if (! Stream_CheckAndLogRequiredLength ( TAG, stream, 1 ) ) goto fail ; Stream_Read_UINT8 ( stream, descriptor ) ; /* descriptor (1 byte) */ if ( descriptor == ZGFX_SEGMENTED_SINGLE ) { if (! zgfx_decompress_segment ( zgfx, stream, Stream_GetRemainingLength ( stream ) ) ) goto fail ; if ( zgfx -> OutputCount > 0 ) { if (! zgfx_append ( zgfx, & pConcatenated, zgfx -> OutputCount, & used ) ) goto fail ; if ( used!= zgfx -> OutputCount ) goto fail ; * ppDstData = pConcatenated ;"
15,"<S2SV_ModStart> ; uint64_t start, len ; <S2SV_ModEnd>",0,"<S2SV_ModStart>, end ; struct inode * inode = bdev -> bd_inode ; int err ; if (! ( mode & BLK_OPEN_WRITE ) ) return - EBADF ; if (! bdev_max_discard_sectors ( bdev ) ) return - EOPNOTSUPP ; if ( copy_from_user ( range, ( void __user * ) arg, sizeof ( range ) ) ) return - EFAULT ; start = range [ 0 ] ; len = range [ 1 ] ; if ( start & 511 ) return - EINVAL ; if ( len & 511 ) return - EINVAL ; if ( check_add_overflow ( start, len, & end ) || end > bdev_nr_bytes ( bdev ) ) return - EINVAL ; <S2SV_ModEnd>"
16,<S2SV_ModStart> ; uint64_t start ; uint64_t len ; <S2SV_ModEnd>,0,"<S2SV_ModStart>, end ; struct inode * inode = bdev -> bd_inode ; int err ; if (! ( mode & BLK_OPEN_WRITE ) ) return - EBADF ; if (! bdev_max_discard_sectors ( bdev ) ) return - EOPNOTSUPP ; if ( copy_from_user ( range, ( void __user * ) arg, sizeof ( range ) ) ) return - EFAULT ; start = range [ 0 ] ; len = range [ 1 ] ; if ( start & 511 ) return - EINVAL ; if ( len & 511 ) return - EINVAL ; if ( check_add_overflow ( start, len, & end ) || end > bdev_nr_bytes ( bdev ) ) return - EINVAL ; <S2SV_ModEnd>"
17,"<S2SV_ModStart> = { 0, 0 } <S2SV_ModEnd>",0,"<S2SV_ModStart>, end ; struct inode * inode = bdev -> bd_inode ; int err ; if (! ( mode & BLK_OPEN_WRITE ) ) return - EBADF ; if (! bdev_max_discard_sectors ( bdev ) ) return - EOPNOTSUPP ; if ( copy_from_user ( range, ( void __user * ) arg, sizeof ( range ) ) ) return - EFAULT ; start = range [ 0 ] ; len = range [ 1 ] ; if ( start & 511 ) return - EINVAL ; if ( len & 511 ) return - EINVAL ; if ( check_add_overflow ( start, len, & end ) || end > bdev_nr_bytes ( bdev ) ) return - EINVAL ; <S2SV_ModEnd>"
18,<S2SV_ModStart> if (! range ) return - EINVAL ; <S2SV_ModEnd>,0,"<S2SV_ModStart>, end ; struct inode * inode = bdev -> bd_inode ; int err ; if (! ( mode & BLK_OPEN_WRITE ) ) return - EBADF ; if (! bdev_max_discard_sectors ( bdev ) ) return - EOPNOTSUPP ; if ( copy_from_user ( range, ( void __user * ) arg, sizeof ( range ) ) ) return - EFAULT ; start = range [ 0 ] ; len = range [ 1 ] ; if ( start & 511 ) return - EINVAL ; if ( len & 511 ) return - EINVAL ; if ( check_add_overflow ( start, len, & end ) || end > bdev_nr_bytes ( bdev ) ) return - EINVAL ; <S2SV_ModEnd>"
19,"<S2SV_ModStart> = { 0, 0, LLONG_MAX ; } <S2SV_ModEnd>",0,"<S2SV_ModStart>, end ; struct inode * inode = bdev -> bd_inode ; int err ; if (! ( mode & BLK_OPEN_WRITE ) ) return - EBADF ; if (! bdev_max_discard_sectors ( bdev ) ) return - EOPNOTSUPP ; if ( copy_from_user ( range, ( void __user * ) arg, sizeof ( range ) ) ) return - EFAULT ; start = range [ 0 ] ; len = range [ 1 ] ; if ( start & 511 ) return - EINVAL ; if ( len & 511 ) return - EINVAL ; if ( check_add_overflow ( start, len, & end ) || end > bdev_nr_bytes ( bdev ) ) return - EINVAL ; <S2SV_ModEnd>"
20,<S2SV_ModStart> if ( pdata == NULL ) { return ; } <S2SV_ModEnd>,0,"static void hv_uio_cleanup ( struct hv_device * dev, struct hv_uio_private_data * pdata ) { if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; if (! pdata -> send_gpadl. decrypted ) vfree ( pdata -> send_buf ) ; } if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; if (! pdata -> recv_gpadl. decrypted ) vfree ( pdata -> recv_buf ) ; <S2SV_ModEnd>"
21,"<S2SV_ModStart> if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; <S2SV_ModEnd>",0,"static void hv_uio_cleanup ( struct hv_device * dev, struct hv_uio_private_data * pdata ) { if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; if (! pdata -> send_gpadl. decrypted ) vfree ( pdata -> send_buf ) ; } if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; if (! pdata -> recv_gpadl. decrypted ) vfree ( pdata -> recv_buf ) ; <S2SV_ModEnd>"
22,"<S2SV_ModStart> if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; vfree ( pdata -> send_buf ) ; <S2SV_ModEnd>",0,"static void hv_uio_cleanup ( struct hv_device * dev, struct hv_uio_private_data * pdata ) { if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; if (! pdata -> send_gpadl. decrypted ) vfree ( pdata -> send_buf ) ; } if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; if (! pdata -> recv_gpadl. decrypted ) vfree ( pdata -> recv_buf ) ; <S2SV_ModEnd>"
23,"<S2SV_ModStart> if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; <S2SV_ModEnd>",0,"static void hv_uio_cleanup ( struct hv_device * dev, struct hv_uio_private_data * pdata ) { if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; if (! pdata -> send_gpadl. decrypted ) vfree ( pdata -> send_buf ) ; } if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; if (! pdata -> recv_gpadl. decrypted ) vfree ( pdata -> recv_buf ) ; <S2SV_ModEnd>"
24,"<S2SV_ModStart> if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; vfree ( pdata -> send_buf ) ; <S2SV_ModEnd>",0,"static void hv_uio_cleanup ( struct hv_device * dev, struct hv_uio_private_data * pdata ) { if ( pdata -> send_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> send_gpadl ) ; if (! pdata -> send_gpadl. decrypted ) vfree ( pdata -> send_buf ) ; } if ( pdata -> recv_gpadl. gpadl_handle ) { vmbus_teardown_gpadl ( dev -> channel, & pdata -> recv_gpadl ) ; if (! pdata -> recv_gpadl. decrypted ) vfree ( pdata -> recv_buf ) ; <S2SV_ModEnd>"
25,<S2SV_ModStart> if (! lookup ) { return - EINVAL ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> struct inet6_dev * idev = ip6_dst_idev ( & rt -> dst ) ; if (! idev ) goto again ; err = fib6_rule_saddr ( net, rule, flags, flp6, idev -> dev ) ; <S2SV_ModEnd>"
26,<S2SV_ModStart> if (! lookup ) { err = - EINVAL ; goto discard_pkt ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> struct inet6_dev * idev = ip6_dst_idev ( & rt -> dst ) ; if (! idev ) goto again ; err = fib6_rule_saddr ( net, rule, flags, flp6, idev -> dev ) ; <S2SV_ModEnd>"
27,<S2SV_ModStart> if (! tb_id ) { return - EINVAL ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> struct inet6_dev * idev = ip6_dst_idev ( & rt -> dst ) ; if (! idev ) goto again ; err = fib6_rule_saddr ( net, rule, flags, flp6, idev -> dev ) ; <S2SV_ModEnd>"
28,<S2SV_ModStart> if (! table ) { err = - ENOENT ; goto discard_pkt ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> struct inet6_dev * idev = ip6_dst_idev ( & rt -> dst ) ; if (! idev ) goto again ; err = fib6_rule_saddr ( net, rule, flags, flp6, idev -> dev ) ; <S2SV_ModEnd>"
29,<S2SV_ModStart> if (! table ) { return - EINVAL ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> struct inet6_dev * idev = ip6_dst_idev ( & rt -> dst ) ; if (! idev ) goto again ; err = fib6_rule_saddr ( net, rule, flags, flp6, idev -> dev ) ; <S2SV_ModEnd>"
30,"<S2SV_ModStart> if (! boot_ghcb ) sev_es_terminate ( SEV_TERM_SET_GEN, GHCB_SEV_ES_GEN_REQ ) ; <S2SV_ModEnd>",0,"<S2SV_ModStart>, exit_code ) ; if ( result!= ES_OK ) goto finish ; result = vc_check_opcode_bytes ( & ctxt, exit_code ) ; if ( result!= ES_OK ) goto finish ; switch ( exit_code ) { case SVM_EXIT_RDTSC : case SVM_EXIT_RDTSCP : result = vc_handle_rdtsc ( boot_ghcb, & ctxt, exit_code ) ; break ; case SVM_EXIT_IOIO : result = vc_handle_ioio ( boot_ghcb, & ctxt ) ; break ; case SVM_EXIT_CPUID : result = vc_handle_cpuid ( boot_ghcb, & ctxt ) ; break ; default : <S2SV_ModEnd>"
31,"<S2SV_ModStart> if (! ctxt ) sev_es_terminate ( SEV_TERM_SET_GEN, GHCB_SEV_ES_GEN_REQ ) ; <S2SV_ModEnd>",0,"<S2SV_ModStart>, exit_code ) ; if ( result!= ES_OK ) goto finish ; result = vc_check_opcode_bytes ( & ctxt, exit_code ) ; if ( result!= ES_OK ) goto finish ; switch ( exit_code ) { case SVM_EXIT_RDTSC : case SVM_EXIT_RDTSCP : result = vc_handle_rdtsc ( boot_ghcb, & ctxt, exit_code ) ; break ; case SVM_EXIT_IOIO : result = vc_handle_ioio ( boot_ghcb, & ctxt ) ; break ; case SVM_EXIT_CPUID : result = vc_handle_cpuid ( boot_ghcb, & ctxt ) ; break ; default : <S2SV_ModEnd>"
32,"<S2SV_ModStart> if (! boot_ghcb ) do_boot_stage2_vc ( regs, exit_code ) ; <S2SV_ModEnd>",0,"<S2SV_ModStart>, exit_code ) ; if ( result!= ES_OK ) goto finish ; result = vc_check_opcode_bytes ( & ctxt, exit_code ) ; if ( result!= ES_OK ) goto finish ; switch ( exit_code ) { case SVM_EXIT_RDTSC : case SVM_EXIT_RDTSCP : result = vc_handle_rdtsc ( boot_ghcb, & ctxt, exit_code ) ; break ; case SVM_EXIT_IOIO : result = vc_handle_ioio ( boot_ghcb, & ctxt ) ; break ; case SVM_EXIT_CPUID : result = vc_handle_cpuid ( boot_ghcb, & ctxt ) ; break ; default : <S2SV_ModEnd>"
33,<S2SV_ModStart> if ( ctxt == NULL ) { return ; } <S2SV_ModEnd>,0,"<S2SV_ModStart>, exit_code ) ; if ( result!= ES_OK ) goto finish ; result = vc_check_opcode_bytes ( & ctxt, exit_code ) ; if ( result!= ES_OK ) goto finish ; switch ( exit_code ) { case SVM_EXIT_RDTSC : case SVM_EXIT_RDTSCP : result = vc_handle_rdtsc ( boot_ghcb, & ctxt, exit_code ) ; break ; case SVM_EXIT_IOIO : result = vc_handle_ioio ( boot_ghcb, & ctxt ) ; break ; case SVM_EXIT_CPUID : result = vc_handle_cpuid ( boot_ghcb, & ctxt ) ; break ; default : <S2SV_ModEnd>"
34,"<S2SV_ModStart> if (! ctxt ) sev_es_terminate ( SEV_TERM_SET_GEN, GHCB_SEV_ES_GENER_REQ ) ; <S2SV_ModEnd>",0,"<S2SV_ModStart>, exit_code ) ; if ( result!= ES_OK ) goto finish ; result = vc_check_opcode_bytes ( & ctxt, exit_code ) ; if ( result!= ES_OK ) goto finish ; switch ( exit_code ) { case SVM_EXIT_RDTSC : case SVM_EXIT_RDTSCP : result = vc_handle_rdtsc ( boot_ghcb, & ctxt, exit_code ) ; break ; case SVM_EXIT_IOIO : result = vc_handle_ioio ( boot_ghcb, & ctxt ) ; break ; case SVM_EXIT_CPUID : result = vc_handle_cpuid ( boot_ghcb, & ctxt ) ; break ; default : <S2SV_ModEnd>"
35,<S2SV_ModStart> if (! n_rules ) return - EINVAL ; <S2SV_ModEnd>,0,<S2SV_ModStart> if (! tmp_rule ) continue ; <S2SV_ModEnd>
36,<S2SV_ModStart> if (! coalesce -> rules ) return - EINVAL ; <S2SV_ModEnd>,0,<S2SV_ModStart> if (! tmp_rule ) continue ; <S2SV_ModEnd>
37,<S2SV_ModStart> if (! coalesce -> n_rules ) return - EINVAL ; <S2SV_ModEnd>,0,<S2SV_ModStart> if (! tmp_rule ) continue ; <S2SV_ModEnd>
38,<S2SV_ModStart> if ( n_rules < 0 ) return - EINVAL ; <S2SV_ModEnd>,0,<S2SV_ModStart> if (! tmp_rule ) continue ; <S2SV_ModEnd>
39,<S2SV_ModStart> kfree ( tmp_rule ) ; <S2SV_ModEnd>,0,<S2SV_ModStart> if (! tmp_rule ) continue ; <S2SV_ModEnd>
40,<S2SV_ModStart> if ( new_order < 0 ) { return ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> unsigned int nofs ; int err = 0 ; gfp_t gfp = readahead_gfp_mask ( mapping ) ; if (! mapping_large_folio_support ( mapping ) || ra -> size < 4 ) goto fallback ; limit = min ( limit, index + ra -> size - 1 ) ; if ( new_order < MAX_PAGECACHE_ORDER ) { new_order += 2 ; new_order = min_t ( unsigned int, MAX_PAGECACHE_ORDER, new_order ) ; new_order = min_t ( unsigned int, new_order, ilog2 ( ra -> size ) ) ; } /* See comment in page_cache_ra_unbounded() */ nofs = memalloc_nofs_save ( ) ; filemap_invalidate_lock_shared ( mapping ) ; while ( index <= limit ) { unsigned int order = new_order ; /* Align with smaller pages if needed */ if ( index & ( ( 1UL << order ) - 1 ) ) order = __ffs ( index ) ; /* Don't allocate pages past EOF */ while ( index + ( 1UL << order ) - 1 > limit ) order -- ; err ="
41,<S2SV_ModStart> unsigned int order = new_order ; <S2SV_ModEnd>,0,"<S2SV_ModStart> unsigned int nofs ; int err = 0 ; gfp_t gfp = readahead_gfp_mask ( mapping ) ; if (! mapping_large_folio_support ( mapping ) || ra -> size < 4 ) goto fallback ; limit = min ( limit, index + ra -> size - 1 ) ; if ( new_order < MAX_PAGECACHE_ORDER ) { new_order += 2 ; new_order = min_t ( unsigned int, MAX_PAGECACHE_ORDER, new_order ) ; new_order = min_t ( unsigned int, new_order, ilog2 ( ra -> size ) ) ; } /* See comment in page_cache_ra_unbounded() */ nofs = memalloc_nofs_save ( ) ; filemap_invalidate_lock_shared ( mapping ) ; while ( index <= limit ) { unsigned int order = new_order ; /* Align with smaller pages if needed */ if ( index & ( ( 1UL << order ) - 1 ) ) order = __ffs ( index ) ; /* Don't allocate pages past EOF */ while ( index + ( 1UL << order ) - 1 > limit ) order -- ; err ="
42,<S2SV_ModStart> if (! limit ) { return ; } <S2SV_ModEnd>,0,"<S2SV_ModStart> unsigned int nofs ; int err = 0 ; gfp_t gfp = readahead_gfp_mask ( mapping ) ; if (! mapping_large_folio_support ( mapping ) || ra -> size < 4 ) goto fallback ; limit = min ( limit, index + ra -> size - 1 ) ; if ( new_order < MAX_PAGECACHE_ORDER ) { new_order += 2 ; new_order = min_t ( unsigned int, MAX_PAGECACHE_ORDER, new_order ) ; new_order = min_t ( unsigned int, new_order, ilog2 ( ra -> size ) ) ; } /* See comment in page_cache_ra_unbounded() */ nofs = memalloc_nofs_save ( ) ; filemap_invalidate_lock_shared ( mapping ) ; while ( index <= limit ) { unsigned int order = new_order ; /* Align with smaller pages if needed */ if ( index & ( ( 1UL << order ) - 1 ) ) order = __ffs ( index ) ; /* Don't allocate pages past EOF */ while ( index + ( 1UL << order ) - 1 > limit ) order -- ; err ="
43,<S2SV_ModStart> ( unsigned int ) limit ; <S2SV_ModEnd>,0,"<S2SV_ModStart> unsigned int nofs ; int err = 0 ; gfp_t gfp = readahead_gfp_mask ( mapping ) ; if (! mapping_large_folio_support ( mapping ) || ra -> size < 4 ) goto fallback ; limit = min ( limit, index + ra -> size - 1 ) ; if ( new_order < MAX_PAGECACHE_ORDER ) { new_order += 2 ; new_order = min_t ( unsigned int, MAX_PAGECACHE_ORDER, new_order ) ; new_order = min_t ( unsigned int, new_order, ilog2 ( ra -> size ) ) ; } /* See comment in page_cache_ra_unbounded() */ nofs = memalloc_nofs_save ( ) ; filemap_invalidate_lock_shared ( mapping ) ; while ( index <= limit ) { unsigned int order = new_order ; /* Align with smaller pages if needed */ if ( index & ( ( 1UL << order ) - 1 ) ) order = __ffs ( index ) ; /* Don't allocate pages past EOF */ while ( index + ( 1UL << order ) - 1 > limit ) order -- ; err ="
44,<S2SV_ModStart> unsigned int order ; <S2SV_ModEnd>,0,"<S2SV_ModStart> unsigned int nofs ; int err = 0 ; gfp_t gfp = readahead_gfp_mask ( mapping ) ; if (! mapping_large_folio_support ( mapping ) || ra -> size < 4 ) goto fallback ; limit = min ( limit, index + ra -> size - 1 ) ; if ( new_order < MAX_PAGECACHE_ORDER ) { new_order += 2 ; new_order = min_t ( unsigned int, MAX_PAGECACHE_ORDER, new_order ) ; new_order = min_t ( unsigned int, new_order, ilog2 ( ra -> size ) ) ; } /* See comment in page_cache_ra_unbounded() */ nofs = memalloc_nofs_save ( ) ; filemap_invalidate_lock_shared ( mapping ) ; while ( index <= limit ) { unsigned int order = new_order ; /* Align with smaller pages if needed */ if ( index & ( ( 1UL << order ) - 1 ) ) order = __ffs ( index ) ; /* Don't allocate pages past EOF */ while ( index + ( 1UL << order ) - 1 > limit ) order -- ; err ="
45,"size_t ) memset ( ( void * ) ( ( void * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>",0,"&&! freeptr_outside_object ( s ) ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>"
46,"size_t memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>",0,"&&! freeptr_outside_object ( s ) ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>"
47,"size_t ) { memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>",0,"&&! freeptr_outside_object ( s ) ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>"
48,"size_t ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>",0,"&&! freeptr_outside_object ( s ) ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>"
49,"size_t ) memset ( ( void * ) ( ( void * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ) ; <S2SV_ModEnd>",0,"&&! freeptr_outside_object ( s ) ) memset ( ( void * ) ( ( char * ) kasan_reset_tag ( obj ) + s -> offset ), 0, sizeof ( void * ) ) ; <S2SV_ModEnd>"
